feature,clip_percentile,gs_raw,gs_clipped,clip_threshold,bias_bound,relative_bias_pct,noise_reduction
diff_srv_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_diff_host_rate,90.0,0.0020242432902288585,0.0020242432902288585,255.0,0.0,0.0,1.0
srv_diff_host_rate,95.0,0.0020242432902288585,0.0020242432902288585,255.0,0.0,0.0,1.0
srv_diff_host_rate,99.0,0.0020242432902288585,0.0020242432902288585,255.0,0.0,0.0,1.0
srv_diff_host_rate,99.5,0.0020242432902288585,0.0020242432902288585,255.0,0.0,0.0,1.0
dst_host_count,90.0,0.0020242432902288585,0.0020242432902288585,255.0,0.0,0.0,1.0
dst_host_count,95.0,0.0020242432902288585,0.0020242432902288585,255.0,0.0,0.0,1.0
dst_host_count,99.0,0.0020242432902288585,0.0020242432902288585,255.0,0.0,0.0,1.0
dst_host_count,99.5,0.0020242432902288585,0.0020242432902288585,255.0,0.0,0.0,1.0
dst_host_srv_count,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_count,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_count,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_count,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_same_srv_rate,90.0,7.938208981289641e-06,7.938208981289642e-07,0.1,0.08941916124883904,107.79742765273312,10.0
dst_host_same_srv_rate,95.0,7.938208981289641e-06,4.4453970295222e-06,0.56,0.02194184468100307,26.451538814882863,1.7857142857142854
dst_host_same_srv_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_same_srv_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_diff_srv_rate,90.0,7.938208981289641e-06,6.668095544283298e-06,0.84,0.01595135465536266,10.750422780555896,1.1904761904761905
dst_host_diff_srv_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_diff_srv_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_diff_srv_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_same_src_port_rate,90.0,7.938208981289641e-06,3.969104490644821e-07,0.05,0.08809744945345431,270.7154827331338,20.0
dst_host_same_src_port_rate,95.0,7.938208981289641e-06,1.4288776166321355e-06,0.18,0.040937184952331056,125.79626146794587,5.555555555555555
dst_host_same_src_port_rate,99.0,7.938208981289641e-06,4.1278686702706134e-06,0.52,0.004138029577766664,12.715790089938455,1.9230769230769231
dst_host_same_src_port_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_diff_host_rate,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_diff_host_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_diff_host_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_diff_host_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_serror_rate,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_serror_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_serror_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_serror_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_serror_rate,90.0,7.938208981289641e-06,6.668095544283298e-06,0.84,0.015960245449421706,13.430953398888418,1.1904761904761905
dst_host_srv_serror_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
dst_host_srv_serror_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
