feature,mechanism,epsilon,global_sensitivity,local_sensitivity,post_mean_error,post_std_error,agg_mean_error,agg_std_error,shuffle_mean_error,shuffle_std_error,noise_variance
hot,gaussian,0.3,3.9691044906448206e-05,3.968134057152629e-05,0.0005431032918541991,0.00041306865280039165,0.0005605461193890638,0.00038697561826782264,1.8062451805072373e-05,8.806071096676306e-06,4.108612712869874e-07
hot,gaussian,0.5,3.9691044906448206e-05,3.968134057152629e-05,0.00026990673294101006,0.00024702423235421056,0.0002978519138600588,0.00024430888182674866,2.2577118652197535e-05,4.56966661863826e-06,1.4791005766331547e-07
hot,gaussian,1.0,3.9691044906448206e-05,3.968134057152629e-05,0.00016722254470374366,0.00011314173373105365,0.00015362963435277977,0.00014315312456001202,2.3238034477875538e-05,2.7885882593678496e-06,3.697751441582887e-08
hot,gaussian,2.0,3.9691044906448206e-05,3.968134057152629e-05,7.065008305980466e-05,4.847375009370793e-05,8.201607510952783e-05,4.197743040488668e-05,2.2232375960412674e-05,1.4146941900926115e-06,9.244378603957217e-09
hot,gaussian,5.0,3.9691044906448206e-05,3.968134057152629e-05,3.1959629675456995e-05,2.209220339995923e-05,3.5099530884677084e-05,2.080261879150175e-05,2.2500929154142977e-05,4.884623574321593e-07,1.4791005766331546e-09
num_failed_logins,laplace,0.1,7.938208981289641e-06,4.796777133709198e-06,6.730797361469975e-05,5.700754676204674e-05,9.725679370135021e-05,6.866245290459337e-05,0.0011356704582213808,1.311317450103015e-06,1.2603032366125504e-08
num_failed_logins,laplace,0.3,7.938208981289641e-06,4.796777133709198e-06,2.5261521422631493e-05,2.7202197523324162e-05,2.8425930526004838e-05,2.996713736367319e-05,0.00113562709826416,5.308811980528157e-07,1.4003369295695006e-09
num_failed_logins,laplace,0.5,7.938208981289641e-06,4.796777133709198e-06,1.6914508748827606e-05,1.3313792928878411e-05,1.6264892606796903e-05,1.1113036366755473e-05,0.001135588914309943,2.6095714169604316e-07,5.041212946450202e-10
num_failed_logins,laplace,1.0,7.938208981289641e-06,4.796777133709198e-06,9.475885110447427e-06,8.626351268615798e-06,6.871447837247802e-06,6.759913215109854e-06,0.001135610998720717,1.291781554946918e-07,1.2603032366125505e-10
num_failed_logins,laplace,2.0,7.938208981289641e-06,4.796777133709198e-06,4.052715038046125e-06,3.901829431732228e-06,4.347814375330975e-06,4.624955430844216e-06,0.0011356041751469093,8.344482861407852e-08,3.150758091531376e-11
num_failed_logins,laplace,5.0,7.938208981289641e-06,4.796777133709198e-06,1.6522533738960732e-06,1.6693160117009945e-06,1.8216463206303473e-06,1.8326943032145016e-06,0.0011355979813197044,3.094172770184892e-08,5.0412129464502014e-12
num_failed_logins,gaussian,0.1,7.938208981289641e-06,4.796777133709198e-06,0.0002879802907549726,0.00016929662892714356,0.0003029985193678549,0.00020463884366036408,0.0011357672523098384,4.5021901340202075e-06,1.4791005766331545e-07
num_failed_logins,gaussian,0.3,7.938208981289641e-06,4.796777133709198e-06,9.399481935780847e-05,7.04378922482333e-05,0.0001142018279897498,0.00010340522209654094,0.0011355838684745008,1.5009500438819907e-06,1.6434450851479494e-08
num_failed_logins,gaussian,0.5,7.938208981289641e-06,4.796777133709198e-06,7.257806923056664e-05,3.520430118232425e-05,8.050577162817911e-05,5.311151452883055e-05,0.0011358849087467853,1.0777710957061844e-06,5.916402306532618e-09
num_failed_logins,gaussian,1.0,7.938208981289641e-06,4.796777133709198e-06,2.8172299425386718e-05,2.4710498967216458e-05,3.772034522748028e-05,2.6134448851388007e-05,0.0011356013543543098,4.501604252318643e-07,1.4791005766331546e-09
num_failed_logins,gaussian,2.0,7.938208981289641e-06,4.796777133709198e-06,1.7033296202129123e-05,1.3257168339580435e-05,1.5889683381020703e-05,1.120796720413417e-05,0.0011356081841214763,2.872377827772109e-07,3.6977514415828864e-10
num_failed_logins,gaussian,5.0,7.938208981289641e-06,4.796777133709198e-06,6.101151299697793e-06,4.4462850196178284e-06,6.514793654605056e-06,6.242731343110145e-06,0.0011355981665475041,1.2464617942990218e-07,5.916402306532617e-11
